id	text
12362	agree
12364	aim
12359	act
12363	about
12361	aid
12360	across
12365	afraid
12366	along
12403	ash
12400	an
12401	and
12402	at
12397	asleep
12396	aloud
12398	animal
12406	around
12435	bark
12436	bar
12433	bait
12438	beef
12434	back
12437	bang
12439	bad
12451	bash
12464	been
12466	beg
12467	beep
12471	best
12484	bet
12474	bent
12469	belong
12477	bend
12500	better
12504	big
12507	bib
12501	between
12514	bit
12525	boast
12531	boo
12537	boom
12526	blister
12522	blend
12541	born
12553	bring
12554	but
12555	boss
12569	camp
12571	cannot
12568	cash
12572	chap
12570	champ
12592	chat
12586	charm
12566	carol
12602	chatter
12606	chip
12614	chips
12613	chug
12621	chum
12624	chops
12630	chop
12623	claim
12644	click
12645	coach
12646	clung
12642	coast
12635	clever
12652	coal
12665	collect
12671	continue
12681	cool
12680	cooking
12691	cot
12690	crept
12694	cost
12692	crash
12713	crest
12715	cricket
12721	crisp
12733	cub
12732	croak
12722	crouch
12725	crunch
12756	deck
12750	damp
12758	dash
12762	dark
12766	deep
12763	deeper
12777	den
12781	dent
12786	did
12793	din
12796	dock
12797	dim
12799	dip
12788	difficult
12819	dried
12812	drag
12826	due
12822	drunk
12828	duel
12832	dull
12844	dump
12846	dusk
12847	elastic
12861	end
12851	electric
12866	ever
12871	expect
12855	dust
12891	fact
12892	fail
12895	faint
12899	far
12896	fantastic
12910	fat
12914	fatter
12917	fax
12930	fed
12933	feel
12935	feed
12934	feeling
12951	fell
12950	felt
12952	fill
12958	finish
12964	flap
12970	fit
12973	flash
12968	fixing
12986	flat
12984	flex
12995	fluff
12997	flop
13001	flush
13003	foam
13015	fog
13020	foil
13019	foghorn
13029	fond
13033	for
13037	form
13040	forgot
13045	found
13051	free
13042	forget
13068	from
13067	fresh
13066	freezing
13069	fried
13071	frost
13091	froth
13093	fun
13104	fuss
13105	gang
13101	fund
13107	gas
13111	get
13120	good
13124	glad
13128	got
13137	gram
13133	grand
13138	greed
13135	grab
13152	grim
13153	grill
13166	grip
13171	gruff
13169	ground
13165	groan
13175	gulp
13174	grunt
13197	gust
13202	had
13204	habit
13209	happen
13214	hang
13224	harm
13216	hard
13223	hectic
13231	held
13238	heel
13245	her
13243	help
13253	herself
13261	him
13265	hid
13259	hiccup
13270	hint
13278	hip
13271	hiss
13291	hoot
13292	hot
13293	hit
13300	huff
13301	hotter
13303	hum
13306	hung
13320	if
13314	hunt
13321	hush
13327	ill
13336	it
13337	in
13334	indeed
13338	insist
13349	its
13354	jazz
13347	jail
13361	jig
13367	jog
13369	job
13375	join
13384	jot
13383	jug
13382	joint
13388	just
13387	jumper
13396	keen
13406	keep
13405	kept
13416	kiss
13417	kit
13425	lad
13424	lap
13428	laid
13433	led
13441	lend
13442	left
13447	less
13443	lent
13461	let
13468	lie
13463	lick
13470	lied
13464	lesson
13476	lift
13472	limp
13490	lip
13497	lit
13498	load
13499	loft
13505	look
13509	long
13515	lord
13514	looking
13519	loss
13530	lot
13531	lost
13535	luck
13541	loud
13542	mad
13554	march
13555	marsh
